Type avion,Compagnie,Nombre de mouvements réalisés,Nombre de vol atterris décollés,Nombre de passagers max réalisés,Nombre de passagers réalisés moyen
100,ADRIA AIRWAYS,164,164,119,61.23170731707317
100,AIR BALTIC,3,3,85,53.666666666666664
100,AIR FRANCE,962,962,113,68.58731808731808
100,AIRLINAIR,2,2,16,8.0
100,AVANTI_AIR GMBH & CO,72,72,109,27.47222222222222
100,CARPATAIR S.A.,181,181,100,39.92817679558011
100,CITYJET,7,7,100,22.857142857142858
100,CROATIA AIRLINES,17,17,109,64.47058823529412
100,DENIM AIR,18,18,109,29.944444444444443
100,HELVETIC AIRWAYS AG,11,11,87,44.54545454545455
100,HOP!,4385,4385,114,70.32542759407069
100,INTERSKY LUFTFAHRT,1,1,0,0.0
100,JETAIRFLY,2,2,77,38.5
100,LUFTHANSA,2,2,76,73.5
100,MONTENEGRO AIRLINES,934,934,114,76.27194860813705
100,OLT,2,2,39,19.5
100,ROYAL AIR MAROC,3,3,0,0.0
100,SKYBRIDGE AIROPS Srl,1,1,0,0.0
100,SLOVAK GOVERNMENT FL,12,12,0,0.0
100,SMALL PLANET AIR,6,6,101,44.5
100,SWISS INTL AIR LINES,1301,1301,101,77.35511145272866
100,TAP PORTUGAL,1003,1003,99,80.321036889332
100,TNT AIRWAYS,1,1,0,0.0
100,TRADE AIR D.O.O.,134,134,109,53.514925373134325
100,TUNISAIR EXPRESS,4,4,81,37.5
146,AIR FRANCE,5388,5388,122,69.07498144023756
146,AIRLINAIR,37,37,23,1.135135135135135
146,ASTRA AIRLINES,2,2,79,39.5
146,AVANTI_AIR GMBH & CO,4,4,87,41.75
146,BMI REGIONAL,25,25,44,28.8
146,BRITAIR,24,24,0,0.0
146,BULGARIA AIR  EAD,6,6,86,81.33333333333333
146,CELLO AVIATION LTD,9,9,46,26.22222222222222
146,CITYJET,2,2,95,47.5
146,DARWIN AIRLINE,2,2,6,5.0
146,DENIM AIR,4,4,26,12.25
146,EASYJET AIRLINES CO,108,108,89,78.62037037037037
146,FLYBE,10,10,115,69.5
146,GERMANWINGS GMBH,2,2,73,66.5
146,HOP!,356,356,100,5.553370786516854
146,JOTA AVIATION LTD,4,4,76,35.0
146,LA COMPAGNIE,2,2,32,16.0
146,MHS AVIATION GMBH,4,4,66,32.75
146,REGIONAL CIE AERIENN,1,1,0,0.0
146,ROYAL AIR FORCE,14,14,17,2.5
146,TITAN AIRWAYS LTD,2,2,52,50.0
146,TNT AIRWAYS,784,784,1,0.002551020408163265
146,TRANSAVIA.COM,4,4,70,29.0
146,WDL AVIATION,124,124,100,37.814516129032256
14F,ASL AIRLINES BELGIUM,10,10,0,0.0
14F,ASL AIRLINES FRANCE,40,40,0,0.0
14F,ROYAL AIR FORCE,4,4,0,0.0
14F,TNT AIRWAYS,1620,1620,0,0.0
180,AIR FRANCE,2,2,1,0.5
180,PAN EUROPEENNE AIR S,2,2,0,0.0
220,AIR BALTIC,688,688,147,118.97819767441861
220,SWISS INTL AIR LINES,1049,1049,140,105.930409914204
310,AIR FRANCE,20,20,242,152.25
310,AIR MEDITERRANEE,12,12,235,147.33333333333334
310,AIR TRANSAT,2696,2696,342,229.84532640949556
310,AL-ATHEER ESTABLISH,2,2,0,0.0
310,AMBASSADE CANADA,4,4,0,0.0
310,CANADIAN ARMED FORCE,4,4,0,0.0
310,CORSAIR INTL,7,7,234,117.57142857142857
310,COTAM,3095,3095,214,44.28562197092084
310,FORCE AER. ESPAGNE,6,6,60,20.0
310,G.OPS_SARL,6,6,40,6.666666666666667
310,GERMAN AIR FORCE,76,76,150,17.17105263157895
310,HERMES AIRLINES,2,2,0,0.0
310,HI FLY,4,4,209,87.75
310,IRAN AIR,134,134,196,127.93283582089552
310,JETAIRFLY,2,2,191,95.5
310,KUWAIT AIRWAYS,64,64,185,99.25
310,MAHAN AIRLINES,2,2,74,40.0
310,QATAR AMIRI FLIGHT,54,54,56,7.888888888888889
310,QATAR EXECUTIVE,2,2,0,0.0
310,ROYAL AIR MAROC,134,134,246,154.65671641791045
310,SATA INTERNACIONAL,14,14,221,110.07142857142857
310,TACV,8,8,155,99.5
310,TAP PORTUGAL,7,7,233,172.85714285714286
310,TAROM,68,68,213,120.1470588235294
310,TRANSAVIA.COM,6,6,191,78.5
310,TUNIS AIR,56,56,233,150.78571428571428
310,TURK HAVA YOLLARI,14,14,0,0.0
310,UZBEKISTAN AIRWAYS,2,2,148,119.5
310,VUELING AIRLINES SA,2,2,166,153.0
