,Date,Faisceau,ArrDep,PAX_Lasso,IC95_low_LASSO,IC95_up_LASSO
0,2016-01-01,Autre UE,Arrivée,6515.214334240256,5919.811824719461,6735.740021112829
1,2016-01-02,Autre UE,Arrivée,6977.5044623521935,6382.101952831398,7198.030149224766
2,2016-01-03,Autre UE,Arrivée,8562.241341492789,7966.838831971993,8782.76702836536
3,2016-01-04,Autre UE,Arrivée,7244.3919449531595,6648.989435432364,7464.917631825732
4,2016-01-05,Autre UE,Arrivée,6523.295065013749,5927.892555492954,6743.820751886322
5,2016-01-06,Autre UE,Arrivée,6596.0428849036125,6000.640375382817,6816.568571776185
6,2016-01-07,Autre UE,Arrivée,7206.494260703355,6611.09175118256,7427.019947575928
7,2016-01-08,Autre UE,Arrivée,8001.817104318264,7406.414594797468,8222.342791190837
8,2016-01-09,Autre UE,Arrivée,6618.086937933831,6022.684428413036,6838.612624806404
9,2016-01-10,Autre UE,Arrivée,7854.879127720643,7259.4766181998475,8075.404814593216
10,2016-01-11,Autre UE,Arrivée,6293.696436622737,5698.293927101941,6514.2221234953095
11,2016-01-12,Autre UE,Arrivée,5572.599556683326,4977.197047162531,5793.125243555899
12,2016-01-13,Autre UE,Arrivée,5645.347376573191,5049.944867052395,5865.873063445763
13,2016-01-14,Autre UE,Arrivée,6255.7987523729325,5660.396242852137,6476.324439245505
14,2016-01-15,Autre UE,Arrivée,7051.121595987841,6455.719086467046,7271.647282860414
15,2016-01-16,Autre UE,Arrivée,5667.391429603409,5071.988920082614,5887.917116475982
16,2016-01-17,Autre UE,Arrivée,6904.183619390221,6308.781109869426,7124.709306262794
17,2016-01-18,Autre UE,Arrivée,6223.413527715249,5628.011018194454,6443.939214587822
18,2016-01-19,Autre UE,Arrivée,5502.316647775839,4906.914138255043,5722.842334648411
19,2016-01-20,Autre UE,Arrivée,5575.064467665703,4979.661958144908,5795.590154538276
20,2016-01-21,Autre UE,Arrivée,6185.515843465445,5590.11333394465,6406.041530338018
21,2016-01-22,Autre UE,Arrivée,6980.838687080353,6385.436177559558,7201.364373952926
22,2016-01-23,Autre UE,Arrivée,5597.1085206959215,5001.706011175126,5817.634207568494
23,2016-01-24,Autre UE,Arrivée,6833.900710482733,6238.498200961938,7054.426397355306
24,2016-01-25,Autre UE,Arrivée,6307.923841686315,5712.52133216552,6528.449528558888
25,2016-01-26,Autre UE,Arrivée,5586.826961746905,4991.42445222611,5807.352648619478
26,2016-01-27,Autre UE,Arrivée,5659.574781636768,5064.172272115973,5880.100468509341
27,2016-01-28,Autre UE,Arrivée,6270.026157436511,5674.623647915716,6490.551844309084
28,2016-01-29,Autre UE,Arrivée,7065.34900105142,6469.946491530624,7285.8746879239925
29,2016-01-30,Autre UE,Arrivée,5681.618834666988,5086.2163251461925,5902.144521539561
30,2016-01-31,Autre UE,Arrivée,6918.411024453799,6323.008514933003,7138.936711326372
31,2016-02-01,Autre UE,Arrivée,6206.695400460578,5611.292890939782,6427.2210873331505
32,2016-02-02,Autre UE,Arrivée,5485.598520521167,4890.196011000372,5706.12420739374
33,2016-02-03,Autre UE,Arrivée,5558.346340411031,4962.943830890235,5778.8720272836035
34,2016-02-04,Autre UE,Arrivée,6168.797716210774,5573.395206689978,6389.323403083346
35,2016-02-05,Autre UE,Arrivée,6964.120559825682,6368.718050304887,7184.646246698255
36,2016-02-06,Autre UE,Arrivée,5657.6318206305605,5062.229311109765,5878.157507503133
37,2016-02-07,Autre UE,Arrivée,7036.520279299551,6441.117769778755,7257.045966172123
38,2016-02-08,Autre UE,Arrivée,6348.850668684217,5753.448159163422,6569.37635555679
39,2016-02-09,Autre UE,Arrivée,5601.492071543177,5006.089562022382,5822.01775841575
40,2016-02-10,Autre UE,Arrivée,5407.8880908319115,4812.485581311116,5628.413777704484
41,2016-02-11,Autre UE,Arrivée,6367.088286736844,5771.685777216048,6587.6139736094165
42,2016-02-12,Autre UE,Arrivée,7254.654012681876,6659.251503161081,7475.179699554449
43,2016-02-13,Autre UE,Arrivée,5870.9238462974445,5275.521336776649,6091.449533170017
44,2016-02-14,Autre UE,Arrivée,7115.300719499038,6519.898209978242,7335.826406371611
45,2016-02-15,Autre UE,Arrivée,6629.20008980826,6033.797580287464,6849.7257766808325
46,2016-02-16,Autre UE,Arrivée,5888.8924868450995,5293.489977324304,6109.418173717672
47,2016-02-17,Autre UE,Arrivée,5857.9354126318085,5262.532903111013,6078.461099504381
48,2016-02-18,Autre UE,Arrivée,6738.275601466294,6142.873091945498,6958.8012883388665
49,2016-02-19,Autre UE,Arrivée,7633.353673843939,7037.9511643231435,7853.879360716512
50,2016-02-20,Autre UE,Arrivée,6212.765033217131,5617.362523696335,6433.290720089703
51,2016-02-21,Autre UE,Arrivée,7660.010452631514,7064.607943110719,7880.536139504087
52,2016-02-22,Autre UE,Arrivée,7072.69842445564,6477.295914934844,7293.2241113282125
53,2016-02-23,Autre UE,Arrivée,6053.702875158784,5458.300365637989,6274.228562031357
54,2016-02-24,Autre UE,Arrivée,5981.91769734949,5386.515187828694,6202.443384222062
55,2016-02-25,Autre UE,Arrivée,6891.281757837975,6295.87924831718,7111.807444710548
56,2016-02-26,Autre UE,Arrivée,7830.123583820743,7234.721074299948,8050.649270693316
57,2016-02-27,Autre UE,Arrivée,6647.520390430464,6052.117880909669,6868.046077303037
58,2016-02-28,Autre UE,Arrivée,7917.275184043433,7321.872674522638,8137.800870916006
59,2016-02-29,Autre UE,Arrivée,7191.993709241201,6596.591199720406,7412.519396113774
60,2016-03-01,Autre UE,Arrivée,6361.587478964901,5766.184969444105,6582.113165837473
61,2016-03-02,Autre UE,Arrivée,6596.0428849036125,6000.640375382817,6816.568571776185
62,2016-03-03,Autre UE,Arrivée,7206.494260703355,6611.09175118256,7427.019947575928
63,2016-03-04,Autre UE,Arrivée,8001.817104318264,7406.414594797468,8222.342791190837
64,2016-03-05,Autre UE,Arrivée,6738.053468752377,6142.6509592315815,6958.57915562495
65,2016-03-06,Autre UE,Arrivée,8125.005852052312,7529.603342531516,8345.531538924884
66,2016-03-07,Autre UE,Arrivée,7124.651875197453,6529.249365676657,7345.1775620700255
67,2016-03-08,Autre UE,Arrivée,6403.554995258042,5808.152485737247,6624.080682130615
68,2016-03-09,Autre UE,Arrivée,6476.302815147906,5880.90030562711,6696.8285020204785
69,2016-03-10,Autre UE,Arrivée,7086.754190947648,6491.351681426852,7307.2798778202205
70,2016-03-11,Autre UE,Arrivée,7882.077034562556,7286.674525041761,8102.602721435129
71,2016-03-12,Autre UE,Arrivée,6498.346868178124,5902.944358657329,6718.872555050697
72,2016-03-13,Autre UE,Arrivée,7735.139057964936,7139.736548444141,7955.664744837509
73,2016-03-14,Autre UE,Arrivée,7244.3919449531595,6648.989435432364,7464.917631825732
74,2016-03-15,Autre UE,Arrivée,6523.295065013749,5927.892555492954,6743.820751886322
75,2016-03-16,Autre UE,Arrivée,6596.0428849036125,6000.640375382817,6816.568571776185
76,2016-03-17,Autre UE,Arrivée,7206.494260703355,6611.09175118256,7427.019947575928
77,2016-03-18,Autre UE,Arrivée,8001.817104318264,7406.414594797468,8222.342791190837
78,2016-03-19,Autre UE,Arrivée,6618.086937933831,6022.684428413036,6838.612624806404
79,2016-03-20,Autre UE,Arrivée,7854.879127720643,7259.4766181998475,8075.404814593216
80,2016-03-21,Autre UE,Arrivée,7244.3919449531595,6648.989435432364,7464.917631825732
81,2016-03-22,Autre UE,Arrivée,6523.295065013749,5927.892555492954,6743.820751886322
82,2016-03-23,Autre UE,Arrivée,6596.0428849036125,6000.640375382817,6816.568571776185
83,2016-03-24,Autre UE,Arrivée,7206.494260703355,6611.09175118256,7427.019947575928
84,2016-03-25,Autre UE,Arrivée,8001.817104318264,7406.414594797468,8222.342791190837
85,2016-03-26,Autre UE,Arrivée,6618.086937933831,6022.684428413036,6838.612624806404
86,2016-03-27,Autre UE,Arrivée,6973.6182996361895,6378.215790115394,7194.143986508762
87,2016-03-28,Autre UE,Arrivée,7313.710952826562,6718.308443305767,7534.236639699135
88,2016-03-29,Autre UE,Arrivée,6592.6140728871505,5997.211563366355,6813.139759759723
89,2016-03-30,Autre UE,Arrivée,6665.361892777015,6069.95938325622,6885.887579649588
90,2016-03-31,Autre UE,Arrivée,7275.813268576757,6680.4107590559615,7496.33895544933
